mcf:sourceMediumPath,mcf:totalConversions,mcf:totalConversionValue
www1.js.vnet.cn / referral -> www1.js.vnet.cn / referral,25,0.0
www1.js.vnet.cn / referral -> www1.js.vnet.cn / referral -> (direct) / (none),17,0.0
www1.xunlei.com / referral,110,0.0
mypinoymovie.net / referral,34,0.0
newkoreatown.com / referral,17,0.0
abcmalayalam.com / referral,484,0.0
abcmalayalam.com / referral -> abcmalayalam.com / referral,42,0.0
cochinmovies.com / referral,42,0.0
dove.m.tmall.com / referral,17,0.0
pinoysabroad.org / referral,17,0.0
player.youku.com / referral,586,0.0
static.youku.com / referral,21122,0.0
static.youku.com / referral -> baidu / cpc,25,0.0
static.youku.com / referral -> snickers.com.cn / referral,34,0.0
static.youku.com / referral -> abcmalayalam.com / referral,17,0.0
static.youku.com / referral -> static.youku.com / referral,313,0.0
static.youku.com / referral -> iqiyi / video,17,0.0
static.youku.com / referral -> youku / video,93,0.0
static.youku.com / referral -> youku / banner,76,0.0
static.youku.com / referral -> (direct) / (none),238,0.0
static.youku.com / referral -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),17,0.0
static.youku.com / referral -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),51,0.0
static.youku.com / referral -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> baidu / cpc,17,0.0
static.youku.com / referral -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),17,0.0
static.youku.com / referral -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),34,0.0
static.youku.com / referral -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),68,0.0
static.youku.com / referral -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),17,0.0
static.youku.com / referral -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),34,0.0
static.youku.com / referral -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),34,0.0
static.youku.com / referral -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),17,0.0
static.youku.com / referral -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),34,0.0
static.youku.com / referral -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),17,0.0
static.youku.com / referral -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),17,0.0
static.youku.com / referral -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),17,0.0
static.youku.com / referral -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),34,0.0
static.youku.com / referral -> (direct) / (none) -> letv.com / referral,17,0.0
static.youku.com / referral -> iQiyi / pre-roll,17,0.0
static.youku.com / referral -> letv.com / referral,51,0.0
static.youku.com / referral -> tudou.com / referral,17,0.0
share.renren.com / referral,51,0.0
sns.qzone.qq.com / referral,51,0.0
tube.movie9k.com / referral,17,0.0
tagalogshows.com / referral,17,0.0
td.atm.youku.com / referral,42,0.0
utamilmovies.com / referral,34,0.0
Sina / share,447,0.0
Sina / share -> baidu / cpc,34,0.0
Sina / share -> Sina / share,25,0.0
pps / banner,14475,0.0
pps / banner -> pps / video,17,0.0
pps / banner -> pps / video -> pps / video,25,0.0
pps / banner -> pps / banner,42,0.0
pps / banner -> pps / banner -> pps / banner,17,0.0
pps / banner -> pps / clientend,85,0.0
pps / banner -> (direct) / (none),76,0.0
pptv / video,7631,0.0
pptv / video -> baidu / cpc,101,0.0
pptv / video -> pptv / video,68,0.0
pptv / video -> pptv / video -> tudou.com / referral,17,0.0
pptv / video -> pptv / banner,34,0.0
pptv / video -> pps / clientend,17,0.0
pptv / video -> (direct) / (none),178,0.0
pptv / video -> (direct) / (none) -> youku / video,17,0.0
pptv / video -> (direct) / (none) -> (direct) / (none),59,0.0
pptv / video -> iqiyi.com / referral,42,0.0
pptv / video -> tudou.com / referral,17,0.0
Qzone / share,786,0.0
Qzone / share -> youku / video,17,0.0
Qzone / share -> (direct) / (none),34,0.0
iqiyi / video,69179,0.0
iqiyi / video -> baidu / cpc,220,0.0
iqiyi / video -> baidu / cpc -> baidu / cpc,34,0.0
iqiyi / video -> tudou / video,17,0.0
iqiyi / video -> youku / video,59,0.0
iqiyi / video -> iqiyi / video,775,0.0
iqiyi / video -> iqiyi / video -> iqiyi / video,102,0.0
iqiyi / video -> iqiyi / video -> iqiyi / video -> iqiyi / video,17,0.0
iqiyi / video -> iqiyi / video -> iqiyi / banner,17,0.0
iqiyi / video -> iqiyi / video -> tudou.com / referral,25,0.0
iqiyi / video -> iqiyi / video -> tudou.com / referral -> tudou.com / referral,25,0.0
iqiyi / video -> iqiyi / banner,85,0.0
iqiyi / video -> pps / clientend,34,0.0
iqiyi / video -> (direct) / (none),620,0.0
iqiyi / video -> (direct) / (none) -> iqiyi / video,34,0.0
iqiyi / video -> (direct) / (none) -> (direct) / (none),17,0.0
iqiyi / video -> tudou.com / referral,34,0.0
iqiyi / video -> iqiyi.com / referral,187,0.0
iqiyi / video -> iqiyi.com / referral -> (direct) / (none),17,0.0
iqiyi / video -> static.youku.com / referral,25,0.0
iqiyi / video -> player.letvcdn.com / referral,17,0.0
pptv / banner,7285,0.0
pptv / banner -> baidu / cpc,76,0.0
pptv / banner -> tudou / video,17,0.0
pptv / banner -> pptv / banner,17,0.0
pptv / banner -> (direct) / (none),76,0.0
tudou / video,144287,0.0
tudou / video -> baidu / cpc,144,0.0
tudou / video -> pps / banner,17,0.0
tudou / video -> tudou / video,5124,0.0
tudou / video -> tudou / video -> baidu / cpc,17,0.0
tudou / video -> tudou / video -> tudou / video,493,0.0
tudou / video -> tudou / video -> tudou / video -> tudou / video,119,0.0
tudou / video -> tudou / video -> tudou / video -> tudou / video -> tudou / video,59,0.0
tudou / video -> tudou / video -> tudou / banner,25,0.0
tudou / video -> tudou / video -> (direct) / (none),102,0.0
tudou / video -> tudou / video -> (direct) / (none) -> (direct) / (none),34,0.0
tudou / video -> tudou / video -> tudou.com / referral,17,0.0
tudou / video -> tudou / video -> xunlei.com / referral,25,0.0
tudou / video -> youku / video,101,0.0
tudou / video -> Qzone / share,17,0.0
tudou / video -> iqiyi / video,42,0.0
tudou / video -> iqiyi / video -> iqiyi / video,25,0.0
tudou / video -> iqiyi / video -> iqiyi / video -> iqiyi / video,25,0.0
tudou / video -> tudou / banner,128,0.0
tudou / video -> pps / clientend,67,0.0
tudou / video -> (direct) / (none),1228,0.0
tudou / video -> (direct) / (none) -> tudou / video,76,0.0
tudou / video -> (direct) / (none) -> (direct) / (none),17,0.0
tudou / video -> (direct) / (none) -> (direct) / (none) -> tudou.com / referral,17,0.0
tudou / video -> letv.com / referral,34,0.0
tudou / video -> tudou.com / referral,699,0.0
tudou / video -> tudou.com / referral -> tudou / video,17,0.0
tudou / video -> iqiyi.com / referral,136,0.0
tudou / video -> js.tudouui.com / referral,17,0.0
tudou / video -> player.letvcdn.com / referral,34,0.0
youku / video,63361,0.0
youku / video -> baidu / cpc,161,0.0
youku / video -> pptv / video,17,0.0
youku / video -> tudou / video,34,0.0
youku / video -> tudou / video -> tudou / video,17,0.0
youku / video -> tudou / video -> tudou / video -> (direct) / (none),17,0.0
youku / video -> youku / video,1612,0.0
youku / video -> youku / video -> youku / video,68,0.0
youku / video -> youku / video -> (direct) / (none),34,0.0
youku / video -> iqiyi / video,17,0.0
youku / video -> (direct) / (none),618,0.0
youku / video -> (direct) / (none) -> youku / video,59,0.0
youku / video -> letv.com / referral,17,0.0
youku / video -> tudou.com / referral,68,0.0
youku / video -> iqiyi.com / referral,34,0.0
youku / video -> iqiyi.com / referral -> (direct) / (none),17,0.0
RenRen / share,195,0.0
bing / organic,143,0.0
iqiyi / banner,17900,0.0
iqiyi / banner -> baidu / cpc,118,0.0
iqiyi / banner -> baidu / cpc -> baidu / cpc,34,0.0
iqiyi / banner -> baidu / cpc -> baidu / cpc -> baidu / cpc,59,0.0
iqiyi / banner -> baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc,17,0.0
iqiyi / banner -> iqiyi / video,127,0.0
iqiyi / banner -> youku / video,84,0.0
iqiyi / banner -> iqiyi / banner,188,0.0
iqiyi / banner -> tudou / banner,17,0.0
iqiyi / banner -> (direct) / (none),102,0.0
iqiyi / banner -> (direct) / (none) -> iqiyi / banner,17,0.0
iqiyi / banner -> iqiyi.com / referral,93,0.0
iqiyi / banner -> tudou.com / referral,60,0.0
soso / organic,17,0.0
tudou / banner,35005,0.0
tudou / banner -> baidu / cpc,101,0.0
tudou / banner -> baidu / cpc -> baidu / cpc,17,0.0
tudou / banner -> Qzone / share,17,0.0
tudou / banner -> tudou / video,110,0.0
tudou / banner -> tudou / banner,444,0.0
tudou / banner -> tudou / banner -> tudou / banner,42,0.0
tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner,42,0.0
tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner,42,0.0
tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner,42,0.0
tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner,42,0.0
tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner,42,0.0
tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner,42,0.0
tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner,42,0.0
tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner,42,0.0
tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner,17,0.0
tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner,34,0.0
tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner,42,0.0
tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner,42,0.0
tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner,25,0.0
tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner,42,0.0
